J=4 superposition Haar geometry=A (s, s, vac, vac)
seed=20250810  takagi_rank=4  workers=2
build=0.012s  hafnian=1.497s  sum_P=1.00000000

nbar  P
(0, 0, 0, 0)  2.50000004e-01
(0, 0, 0, 1)  1.94555504e-01
(1, 0, 0, 0)  1.71195380e-01
(0, 1, 0, 0)  1.15744270e-01
(1, 1, 0, 0)  8.49286184e-02
(1, 0, 0, 1)  7.48128336e-02
(0, 0, 0, 2)  2.94727293e-02
(1, 0, 1, 0)  2.84915027e-02
(0, 0, 1, 0)  1.85048465e-02
(0, 1, 1, 0)  1.29917055e-02
(0, 2, 0, 0)  7.55268451e-03
(0, 1, 0, 1)  5.46060441e-03
(0, 0, 2, 0)  4.62378428e-03
(2, 0, 0, 0)  1.01000558e-03
(0, 0, 1, 1)  6.55527970e-04
